"EmployerName","Address","CompanyNumber","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","CompanyLinkToGPGInfo","ResponsiblePerson","EmployerSize","CurrentName","SubmittedAfterTheDeadline","�..X","Y","objectid","pcds","oa11","laua","ward","lsoa11","msoa11","rgn"
"5 HERTFORD STREET LIMITED","10, Norwich Street,
London,
EC4A 1BD","6913368","82990",-8,-13,20,-18,84,82,95,5,78,22,67,33,76,24,"https://www.5hertfordstreet.com/home/","Robin Birley (Chairman)","250 to 499","5 HERTFORD STREET LIMITED",FALSE,-0.109923893956304,51.5166196534197,755846,"EC4A 1BD","E00000026","E09000001","E05009305","E01032740","E02000001","E12000007"
"6Cats UK Ltd.","1st Floor 1-3 Sun Street,
London,
England,
EC2A 2EP","7284675","70229",14,4,0,0,0,0,48,52,42,58,47,53,57,43,"","Kirsty Henning (Finance Director)","250 to 499","6Cats UK Ltd.",FALSE,-0.085389803626239,51.5204572242016,750473,"EC2A 2EP","E00013428","E09000019","E05000367","E01002704","E02000576","E12000007"
"A & L RESTAURANTS LIMITED","THE ACCOUNTING CENTRE, FIRST FLOOR,
736 High Road,
North Finchley,
London,
England,
N12 9QD","4437266","56290",4.9,0.8,48.5,80,13.3,19.9,40.7,59.3,28,72,50,50,59.3,40.7,"","Amir Atefi (Director)","500 to 999","A & L RESTAURANTS LIMITED",FALSE,-0.17585896705679,51.6140902588137,1449168,"N12 9QD","E00001590","E09000003","E05000063","E01000323","E02000042","E12000007"
"A F A RESTAURANTS LIMITED","736, High Road,
North Finchley,
London,
England,
N12 9QD","8345484","47290",2.5,0.3,-9,-8.4,5.6,4.3,59.9,40.1,45.3,54.7,51.7,48.3,62.6,37.4,"","Jackie Farquhar (Business Administrator)","500 to 999","A F A RESTAURANTS LIMITED",FALSE,-0.17585896705679,51.6140902588137,1449168,"N12 9QD","E00001590","E09000003","E05000063","E01000323","E02000042","E12000007"
"A P Security (Aps) Ltd","71-75 Shelton Street,
London,
United Kingdom,
WC2H 9JQ","4926952","82990",2.6,0,0,0,0,0,75.8,24.2,71.9,28.1,77,23,85,15,"","SHILA SHAH (PAYROLL OFFICER)","500 to 999","A P Security (Aps) Ltd",FALSE,-0.123615332296335,51.5148970109798,2489553,"WC2H 9JQ","E00004527","E09000007","E05000138","E01000918","E02000193","E12000007"
"A.B. HOTELS LIMITED","50-60 Great Cumberland Place,
London,
United Kingdom,
W1H 8DD","1467761","55100",5.4,-5.3,-34.9,-50.5,8.8,7,65.3,34.7,46.6,53.4,35.6,64.4,56.2,43.8,"http://www.abhotels.co.uk/GenderPayReport","Rafael Bejerano (Director)","250 to 499","A.B. HOTELS LIMITED",FALSE,-0.160010832464608,51.5162469265477,2432574,"W1H 8DD","E00023506","E09000033","E05000632","E01004657","E02000971","E12000007"
"A24 GROUP LIMITED","92-96 Lind Road,
Sutton,
Surrey,
United Kingdom,
SM1 4PL","3262419","78200",-11,-13,-36,-55,3,2,37,63,35,65,31,69,23,77,"","Charles Rees (Finance Director)","1000 to 4999","A24 GROUP LIMITED",FALSE,-0.18551835522778,51.3645593388773,2097745,"SM1 4PL","E00020854","E09000029","E05000564","E01004138","E02000852","E12000007"
"A2DOMINION HOUSING GROUP LIMITED","The Point,
37 North Wharf Road,
London,
United Kingdom,
W2 1BD","IP28985R","",26,20,50,0,74,76,21,79,33,67,42,58,54,46,"https://www.a2dominiongroup.co.uk/about/reports-and-accounts","Darrell Mercer (Group Chief Executive)","500 to 999","A2DOMINION HOUSING GROUP LIMITED",FALSE,-0.176367343252682,51.5184717436875,2444607,"W2 1BD","E00175186","E09000033","E05000636","E01033594","E02000974","E12000007"
"A3D2 LIMITED","NOVUS LEISURE LIMITED,
Third Floor, Clareville House,
26-27 Oxendon Street,
London,
United Kingdom,
SW1Y 4EL","3506401","56301",-5,-7,-42,-110,24,32,60,40,67,33,59,41,47,53,"","Sarah Miller (Operations Director)","Not Provided","A3D2 LIMITED",FALSE,-0.131636453848331,51.5097822817598,2244304,"SW1Y 4EL","E00023929","E09000033","E05000644","E01004734","E02000977","E12000007"
"AARON SERVICES LIMITED","1 King George Close,
Romford,
Essex,
United Kingdom,
RM7 7LS","3193203","43220",40.2,45.9,-4.9,-77.2,61.5,6.5,48.6,51.4,93.1,6.9,98.6,1.4,94.4,5.6,"https://www.lakehouse.co.uk/application/files/5515/2286/0958/Aaron_Services_-_Gender_Pay_Gap_Report_2018.pdf","Ian Siddons (Senior HR Business Partner)","250 to 499","AARON SERVICES LIMITED",TRUE,0.16557819537777,51.5865242325695,1925997,"RM7 7LS","E00011642","E09000016","E05000316","E01002329","E02000474","E12000007"
